1.179999, 0, 0, 30.44272, 2.649128, 0, 9718.462, -746.9425, -6.713542, 0.01916307, 0.1562024, 134.33, 2.100001, 1.704499, 29.48458
 
1.189999, -0.8444912, 0, 30.70906, 2.652725, 0.3430864235998751509548419286, 9901.966, -747.0313, -6.713542, 0.01916307, 0.1562024, 135.6008, 2.087092, 1.704415, 29.50036
 
1.199999, -0.8388764, -0.008444912, 30.97569, 2.656175, 0.3380133032640284634184588734, 10087.48, -747.1202, -6.713542, 0.01916307, 0.1562024, 136.8738, 2.087279, 1.704331, 29.51614
 
1.209999, -0.8294287, -0.01683368, 31.24273, 2.659626, 0.3315459963161312766325985595, 10275, -747.2092, -6.713542, 0.01916307, 0.1562024, 138.149, 2.087517, 1.704247, 29.53192
 
1.219999, -0.8160653, -0.02512796, 31.51035, 2.663227, 0.3237173441398650968847230612, 10464.55, -747.2982, -6.713542, 0.01916307, 0.1562024, 139.4264, 2.087807, 1.704162, 29.5477
 
1.229999, -0.7987235, -0.03328862, 31.77824, 2.666679, 0.3145673503355382528500958176, 10656.13, -747.387, -6.713542, 0.01916307, 0.1562024, 140.706, 2.088145, 1.704079, 29.56347
 
1.239999, -0.777357, -0.04127585, 32.04686, 2.670431, 0.3041419579026525200552309854, 10849.76, -747.476, -6.713542, 0.01916307, 0.1562024, 141.9879, 2.088531, 1.703994, 29.57925
 
1.249999, -0.7519346, -0.04904942, 32.31562, 2.673887, 0.2924907782931320823839994219, 11045.45, -747.5651, -6.713542, 0.01916307, 0.1562024, 143.2722, 2.088963, 1.70391, 29.59503
 
1.259999, -0.7224564, -0.05656877, 32.58509, 2.677641, 0.2796739042515632785106878815, 11243.19, -747.6542, -6.713542, 0.01916307, 0.1562024, 144.5586, 2.089439, 1.703826, 29.61081
 
1.269999, -0.6889445, -0.06379333, 32.85486, 2.681247, 0.2657563197924406374667925054, 11443.02, -747.743, -6.713542, 0.01916307, 0.1562024, 145.8475, 2.089956, 1.703742, 29.62659
 
1.279999, -0.6514406, -0.07068278, 33.12523, 2.685003, 0.2508070267591118446486600030, 11644.95, -747.8322, -6.713542, 0.01916307, 0.1562024, 147.1387, 2.090513, 1.703658, 29.64237
 
1.289999, -0.6100113, -0.07719719, 33.39605, 2.688761, 0.2349006170176768030037335259, 11848.97, -747.9213, -6.713542, 0.01916307, 0.1562024, 148.4322, 2.091107, 1.703574, 29.65815
 
1.299999, -0.5647627, -0.0832973, 33.66714, 2.692371, 0.2181211155976297825969314718, 12055.09, -748.0104, -6.713542, 0.01916307, 0.1562024, 149.7281, 2.091734, 1.70349, 29.67393
 
1.309999, -0.5158297, -0.08894493, 33.93863, 2.695981, 0.2005576134865842506488533895, 12263.3, -748.0994, -6.713542, 0.01916307, 0.1562024, 151.0261, 2.092392, 1.703406, 29.68971
 
1.319999, -0.4633668, -0.09410322, 34.2104, 2.699445, 0.1822999004249977015739858828, 12473.63, -748.1886, -6.713542, 0.01916307, 0.1562024, 152.3264, 2.093077, 1.703322, 29.70549
 
1.329999, -0.407579, -0.09873689, 34.48275, 2.703059, 0.1634489986052953669285499695, 12686.07, -748.2778, -6.713542, 0.01916307, 0.1562024, 153.6291, 2.093786, 1.703238, 29.72127
 
1.339999, -0.3486865, -0.1028127, 34.75551, 2.706674, 0.1441044104324668938102733286, 12900.63, -748.3671, -6.713542, 0.01916307, 0.1562024, 154.9339, 2.094516, 1.703154, 29.73705
 
1.349999, -0.2869603, -0.1062995, 35.02853, 2.71014, 0.1243745474102624025978885604, 13117.33, -748.4561, -6.713542, 0.01916307, 0.1562024, 156.241, 2.095261, 1.70307, 29.75282
 
1.359999, -0.2227016, -0.1091691, 35.30229, 2.713907, 0.1043705811161678426563032079, 13336.18, -748.5453, -6.713542, 0.01916307, 0.1562024, 157.5505, 2.096019, 1.702986, 29.7686
 
1.369999, -0.1562391, -0.1113962, 35.57632, 2.717525, 0.0842038228782353484660371236, 13557.18, -748.6346, -6.713542, 0.01916307, 0.1562024, 158.8623, 2.096785, 1.702902, 29.78438
 
